ID,DateTimeUTC,TapType,StopId,CompanyId,BusId,PAN
1,22/01/2018 13:00,ON,Stop1,Company1,Bus37,5500005555555550
2,22/01/2018 13:05,OFF,Stop2,Company1,Bus37,5500005555555550
3,22/01/2018 13:00,ON,Stop2,Company2,Bus36,2500005555555530
4,22/01/2018 13:20,OFF,Stop3,Company2,Bus36,2500005555555530
5,22/01/2018 13:00,ON,Stop1,Company1,Bus37,8800005555555580
6,22/01/2018 13:00,ON,Stop2,Company2,Bus36,2500005555555530
7,22/01/2018 13:00,OFF,Stop1,Company2,Bus36,2500005555555530
8,22/01/2018 15:30,ON,Stop2,Company1,Bus37,5500005555555550
9,22/01/2018 15:45,OFF,Stop1,Company1,Bus37,5500005555555550
10,22/01/2018 17:00,OFF,Stop3,Company2,Bus37,2500005555555580
11,22/01/2018 13:00,ON,Stop3,Company2,Bus37,8888005555555580
12,22/01/2018 13:00,OFF,Stop3,Company2,Bus37,8888005555555580
